Country,Year,Emissions.Type.CO2,Emissions.Type.N2O,Emissions.Type.CH4
Afghanistan,1970,2670.0,1820.0,12800.0
Afghanistan,1971,2630.0,1850.0,12900.0
Afghanistan,1972,2180.0,1810.0,11900.0
Afghanistan,1973,2310.0,1830.0,11600.0
Afghanistan,1974,2520.0,2190.0,12800.0
Afghanistan,1975,2720.0,1930.0,12800.0
Afghanistan,1976,2800.0,1870.0,12800.0
Afghanistan,1977,2780.0,1990.0,13000.0
Afghanistan,1978,2780.0,3690.0,12500.0
Afghanistan,1979,2700.0,2990.0,12200.0
Afghanistan,1980,2750.0,2470.0,12500.0
Afghanistan,1981,2710.0,2670.0,12000.0
Afghanistan,1982,2780.0,2580.0,11900.0
Afghanistan,1983,2630.0,2800.0,11300.0
Afghanistan,1984,2520.0,2730.0,10300.0
Afghanistan,1985,2330.0,2660.0,9570.0
Afghanistan,1986,1990.0,2470.0,8450.0
Afghanistan,1987,2140.0,2460.0,8320.0
Afghanistan,1988,2210.0,2270.0,8480.0
Afghanistan,1989,2200.0,2110.0,7630.0
Afghanistan,1990,2170.0,2100.0,7750.0
Afghanistan,1991,2220.0,2050.0,7890.0
Afghanistan,1992,2180.0,1780.0,8010.0
Afghanistan,1993,2230.0,1780.0,8200.0
Afghanistan,1994,2030.0,2020.0,8520.0
Afghanistan,1995,2170.0,2340.0,8940.0
Afghanistan,1996,2390.0,2340.0,9990.0
Afghanistan,1997,2620.0,2220.0,10800.0
Afghanistan,1998,2810.0,2170.0,11300.0
Afghanistan,1999,3050.0,2230.0,12100.0
Afghanistan,2000,2690.0,2490.0,10900.0
Afghanistan,2001,2450.0,2440.0,9600.0
Afghanistan,2002,2780.0,2470.0,11300.0
Afghanistan,2003,2880.0,2670.0,12000.0
Afghanistan,2004,2870.0,2940.0,11800.0
Afghanistan,2005,2980.0,3120.0,12200.0
Afghanistan,2006,2820.0,3330.0,12500.0
Afghanistan,2007,2790.0,2990.0,12800.0
Afghanistan,2008,3060.0,4050.0,14000.0
Afghanistan,2009,3250.0,5150.0,14400.0
Afghanistan,2010,3610.0,6410.0,16100.0
Afghanistan,2011,3650.0,7040.0,16200.0
Afghanistan,2012,3610.0,7580.0,15800.0
Albania,1970,650.0,2090.0,4480.0
Albania,1971,658.0,2080.0,4470.0
Albania,1972,662.0,2110.0,5080.0
Albania,1973,690.0,2180.0,4680.0
Albania,1974,704.0,2220.0,4900.0
Albania,1975,703.0,2290.0,5070.0
Albania,1976,804.0,2400.0,5450.0
Albania,1977,863.0,2470.0,5760.0
Albania,1978,1030.0,2660.0,6500.0
Albania,1979,1060.0,2760.0,7620.0
Albania,1980,1060.0,2830.0,7720.0
Albania,1981,1090.0,2840.0,6730.0
Albania,1982,1090.0,2880.0,6950.0
Albania,1983,1120.0,2950.0,7450.0
Albania,1984,1150.0,3000.0,8060.0
Albania,1985,1130.0,2960.0,7690.0
Albania,1986,1160.0,3080.0,7770.0
Albania,1987,1140.0,3250.0,8040.0
Albania,1988,1200.0,3390.0,7980.0
Albania,1989,1290.0,3440.0,7850.0
Albania,1990,1180.0,3350.0,6620.0
Albania,1991,846.0,3170.0,4400.0
Albania,1992,767.0,3010.0,2400.0
Albania,1993,815.0,3100.0,2250.0
Albania,1994,940.0,3860.0,2390.0
Albania,1995,883.0,3590.0,2110.0
Albania,1996,813.0,3420.0,2100.0
Albania,1997,766.0,3240.0,1630.0
Albania,1998,830.0,3130.0,1860.0
Albania,1999,836.0,3170.0,3100.0
Albania,2000,844.0,3200.0,3200.0
Albania,2001,845.0,3170.0,3420.0
Albania,2002,918.0,3170.0,3960.0
Albania,2003,860.0,3180.0,4260.0
Albania,2004,930.0,3130.0,4440.0
Albania,2005,847.0,3120.0,4200.0
Albania,2006,879.0,3090.0,4170.0
Albania,2007,826.0,2970.0,4280.0
Albania,2008,786.0,2850.0,4230.0
Albania,2009,791.0,2750.0,3810.0
Albania,2010,779.0,2770.0,4140.0
Albania,2011,784.0,2780.0,4390.0
Albania,2012,787.0,2810.0,4120.0
Algeria,1970,2140.0,18900.0,46500.0
Algeria,1971,2450.0,22300.0,60100.0
Algeria,1972,2490.0,34400.0,106000.0
Algeria,1973,2320.0,46500.0,151000.0
Algeria,1974,2040.0,39300.0,117000.0
Algeria,1975,2500.0,35700.0,97000.0
Algeria,1976,2620.0,46300.0,131000.0
Algeria,1977,2790.0,51300.0,144000.0
Algeria,1978,2530.0,56600.0,149000.0
Algeria,1979,2820.0,56500.0,128000.0
Algeria,1980,3150.0,56600.0,123000.0
Algeria,1981,2860.0,53200.0,91000.0
Algeria,1982,3280.0,54900.0,71500.0
Algeria,1983,3400.0,57500.0,70000.0
Algeria,1984,3510.0,60500.0,85100.0
Algeria,1985,3610.0,69800.0,118000.0
Algeria,1986,3680.0,72600.0,107000.0
Algeria,1987,3670.0,69800.0,95700.0
Algeria,1988,3460.0,70500.0,90500.0
Algeria,1989,3480.0,71000.0,96100.0
Algeria,1990,3610.0,68000.0,79400.0
Algeria,1991,3570.0,72100.0,80400.0
Algeria,1992,3690.0,80000.0,112000.0
Algeria,1993,3980.0,80300.0,107000.0
Algeria,1994,3710.0,77700.0,102000.0
Algeria,1995,3310.0,80300.0,106000.0
Algeria,1996,3250.0,80100.0,102000.0
Algeria,1997,3440.0,78400.0,89200.0
Algeria,1998,3810.0,78400.0,81700.0
Algeria,1999,4090.0,81700.0,79800.0
Algeria,2000,4180.0,84500.0,79600.0
Algeria,2001,4410.0,82800.0,71500.0
Algeria,2002,4370.0,86400.0,68700.0
Algeria,2003,4460.0,93500.0,77100.0
Algeria,2004,4690.0,92600.0,73200.0
Algeria,2005,4700.0,98400.0,75100.0
Algeria,2006,4250.0,104000.0,78400.0
Algeria,2007,5300.0,106000.0,74400.0
Algeria,2008,5290.0,111000.0,77200.0
Algeria,2009,5610.0,115000.0,70700.0
Algeria,2010,5850.0,117000.0,71900.0
Algeria,2011,5990.0,122000.0,70000.0
Algeria,2012,6240.0,127000.0,71000.0
Angola,1970,1720.0,8950.0,35200.0
Angola,1971,1810.0,8540.0,33500.0
Angola,1972,1870.0,10400.0,37900.0
Angola,1973,1900.0,11400.0,42600.0
Angola,1974,1920.0,11800.0,44100.0
Angola,1975,1950.0,10900.0,41600.0
Angola,1976,1850.0,7320.0,27900.0
Angola,1977,1890.0,12100.0,49300.0
Angola,1978,1960.0,14200.0,53800.0
Angola,1979,2020.0,14200.0,54000.0
Angola,1980,2070.0,14300.0,54500.0
Angola,1981,2100.0,13300.0,50700.0
Angola,1982,2130.0,12800.0,50400.0
Angola,1983,2170.0,13300.0,52100.0
Angola,1984,2200.0,13400.0,53200.0
Angola,1985,2250.0,14100.0,53900.0
Angola,1986,2280.0,14300.0,54700.0
Angola,1987,2250.0,14600.0,55800.0
Angola,1988,2210.0,15000.0,56200.0
Angola,1989,2180.0,15200.0,56600.0
Angola,1990,2150.0,11300.0,38400.0
Angola,1991,2220.0,11800.0,40600.0
Angola,1992,2300.0,12200.0,42800.0
Angola,1993,2310.0,12200.0,41600.0
Angola,1994,2340.0,11600.0,37200.0
Angola,1995,2360.0,13000.0,41600.0
Angola,1996,2540.0,15800.0,47600.0
Angola,1997,2690.0,16500.0,46500.0
Angola,1998,2890.0,17100.0,46800.0
Angola,1999,2920.0,18100.0,43100.0
Angola,2000,3020.0,16600.0,36700.0
Angola,2001,3080.0,16300.0,35300.0
Angola,2002,3110.0,16000.0,34400.0
Angola,2003,3170.0,17400.0,34300.0
Angola,2004,2970.0,17500.0,33700.0
Angola,2005,3290.0,16200.0,34600.0
Angola,2006,3540.0,16900.0,33000.0
Angola,2007,3670.0,17400.0,32300.0
Angola,2008,3930.0,19700.0,33500.0
Angola,2009,3800.0,21500.0,32600.0
Angola,2010,3940.0,24400.0,35800.0
Angola,2011,4060.0,24400.0,36000.0
Angola,2012,4110.0,24700.0,36100.0
Anguilla,1970,0.11,2.7,2.17
Anguilla,1971,0.11,2.74,2.17
Anguilla,1972,0.11,2.73,2.26
Anguilla,1973,0.11,2.78,2.11
Anguilla,1974,0.11,2.73,2.35
Anguilla,1975,0.12,2.75,2.58
Anguilla,1976,0.11,2.58,2.43
Anguilla,1977,0.11,2.59,2.54
Anguilla,1978,0.13,2.8,2.9
Anguilla,1979,0.13,2.84,3.21
Anguilla,1980,0.16,2.82,4.41
Anguilla,1981,0.22,2.92,6.64
Anguilla,1982,0.23,2.97,7.02
Anguilla,1983,0.19,2.5,6.09
Anguilla,1984,0.18,2.25,5.8
Anguilla,1985,0.13,2.44,3.67
Anguilla,1986,0.12,2.51,3.15
Anguilla,1987,0.17,2.39,6.13
Anguilla,1988,0.15,2.31,5.8
Anguilla,1989,0.15,2.36,6.15
Anguilla,1990,0.16,2.42,6.11
Anguilla,1991,0.19,2.49,7.58
Anguilla,1992,0.19,2.46,7.9
Anguilla,1993,0.21,2.5,9.95
Anguilla,1994,0.29,2.74,13.1
Anguilla,1995,0.38,2.81,16.4
Anguilla,1996,0.37,2.86,16.2
Anguilla,1997,0.32,2.9,13.6
Anguilla,1998,0.27,2.93,12.4
Anguilla,1999,0.25,2.94,11.8
Anguilla,2000,0.3,3.02,15.5
Anguilla,2001,0.31,2.94,15.9
Anguilla,2002,0.21,3.14,10.9
Anguilla,2003,0.25,3.26,14.1
Anguilla,2004,0.24,4.21,13.5
Anguilla,2005,0.25,4.35,13.7
Anguilla,2006,0.24,4.48,12.8
Anguilla,2007,0.24,4.51,12.4
Anguilla,2008,0.29,4.47,15.3
Anguilla,2009,0.39,4.61,20.2
Anguilla,2010,0.45,4.67,24.0
Anguilla,2011,0.48,4.72,26.0
Anguilla,2012,0.48,4.76,26.0
Antigua and Barbuda,1970,9.48,32.0,149.0
Antigua and Barbuda,1971,10.1,34.8,157.0
Antigua and Barbuda,1972,9.7,33.6,198.0
Antigua and Barbuda,1973,10.1,34.9,218.0
Antigua and Barbuda,1974,9.75,34.0,182.0
Antigua and Barbuda,1975,10.1,34.1,227.0
Antigua and Barbuda,1976,10.5,33.8,189.0
Antigua and Barbuda,1977,11.0,35.5,212.0
Antigua and Barbuda,1978,12.3,37.7,201.0
Antigua and Barbuda,1979,13.6,42.6,191.0
Antigua and Barbuda,1980,15.0,46.3,189.0
Antigua and Barbuda,1981,14.3,46.1,195.0
Antigua and Barbuda,1982,16.2,50.6,241.0
Antigua and Barbuda,1983,14.4,46.9,162.0
Antigua and Barbuda,1984,15.5,47.5,193.0
Antigua and Barbuda,1985,16.0,48.8,172.0
Antigua and Barbuda,1986,15.0,48.3,190.0
Antigua and Barbuda,1987,15.2,48.3,211.0
Antigua and Barbuda,1988,15.9,48.4,243.0
Antigua and Barbuda,1989,14.7,45.1,241.0
Antigua and Barbuda,1990,14.7,44.9,245.0
Antigua and Barbuda,1991,14.9,44.9,248.0
Antigua and Barbuda,1992,15.1,45.0,246.0
Antigua and Barbuda,1993,15.0,45.3,232.0
Antigua and Barbuda,1994,15.8,45.9,250.0
Antigua and Barbuda,1995,16.4,47.1,259.0
Antigua and Barbuda,1996,17.1,47.0,264.0
Antigua and Barbuda,1997,17.4,46.5,256.0
Antigua and Barbuda,1998,17.9,45.6,252.0
Antigua and Barbuda,1999,18.5,45.6,257.0
Antigua and Barbuda,2000,18.7,48.4,279.0
Antigua and Barbuda,2001,19.2,49.0,294.0
Antigua and Barbuda,2002,19.2,49.2,286.0
Antigua and Barbuda,2003,20.1,49.5,298.0
Antigua and Barbuda,2004,20.8,49.9,311.0
Antigua and Barbuda,2005,20.7,50.4,306.0
Antigua and Barbuda,2006,20.7,50.7,305.0
Antigua and Barbuda,2007,21.1,51.1,322.0
Antigua and Barbuda,2008,21.4,51.3,323.0
Antigua and Barbuda,2009,21.7,50.7,332.0
Antigua and Barbuda,2010,22.2,49.8,353.0
Antigua and Barbuda,2011,23.1,53.1,372.0
Antigua and Barbuda,2012,23.3,53.4,374.0
Argentina,1970,26800.0,108000.0,91200.0
Argentina,1971,27300.0,111000.0,91700.0
Argentina,1972,28300.0,114000.0,92700.0
Argentina,1973,29400.0,119000.0,97100.0
Argentina,1974,29300.0,119000.0,96900.0
Argentina,1975,29800.0,125000.0,95600.0
Argentina,1976,30700.0,134000.0,102000.0
Argentina,1977,31900.0,139000.0,105000.0
Argentina,1978,31100.0,139000.0,107000.0
Argentina,1979,31300.0,139000.0,113000.0
Argentina,1980,30600.0,136000.0,110000.0
Argentina,1981,30300.0,129000.0,107000.0
Argentina,1982,30000.0,129000.0,105000.0
Argentina,1983,30300.0,130000.0,107000.0
Argentina,1984,31800.0,141000.0,107000.0
Argentina,1985,31200.0,135000.0,100000.0
Argentina,1986,30900.0,128000.0,110000.0
Argentina,1987,30300.0,127000.0,115000.0
Argentina,1988,32200.0,137000.0,121000.0
